halo, total_mass, baryon_mass, particle_mass, star_mass 
[8069, 12004782.8197 Msun, 71133.895766 Msun, 11933648.9239 Msun, 0]
[8070, 11097018.2447 Msun, 3767.1323796 Msun, 11093251.1124 Msun, 0]
[8071, 11264776.5421 Msun, 3445.86740265 Msun, 11261330.6747 Msun, 0]
[8072, 22322962.286 Msun, 976857.872849 Msun, 21346104.4132 Msun, 0]
[8073, 13007579.2317 Msun, 65452.9339121 Msun, 12942126.2978 Msun, 0]
[8074, 12630890.4101 Msun, 24923.2369931 Msun, 12605967.1731 Msun, 0]
[8075, 12819629.5493 Msun, 45582.8138469 Msun, 12774046.7354 Msun, 0]
[8076, 14553070.9664 Msun, 98228.6078757 Msun, 14454842.3585 Msun, 0]
[8077, 17978413.7552 Msun, 1170457.52439 Msun, 16807956.2308 Msun, 0]
[8078, 12685627.8823 Msun, 79660.7091962 Msun, 12605967.1731 Msun, 0]
[8079, 12621225.9071 Msun, 15258.7340114 Msun, 12605967.1731 Msun, 0]
[8080, 12198431.4439 Msun, 264782.519974 Msun, 11933648.9239 Msun, 0]
[8081, 12224365.5503 Msun, 122637.064075 Msun, 12101728.4862 Msun, 0]
[8082, 15673590.7794 Msun, 42191.4846728 Msun, 15631399.2947 Msun, 0]
[8083, 10775068.348 Msun, 17976.3602228 Msun, 10757091.9877 Msun, 0]
[8084, 12816913.1329 Msun, 42866.3975027 Msun, 12774046.7354 Msun, 0]
[8085, 12812596.1436 Msun, 38549.4081966 Msun, 12774046.7354 Msun, 0]
[8086, 10928989.3643 Msun, 3817.81424156 Msun, 10925171.5501 Msun, 0]
[8087, 13488135.4314 Msun, 41770.4467168 Msun, 13446364.9847 Msun, 0]
[8088, 13024322.198 Msun, 82195.9002079 Msun, 12942126.2978 Msun, 0]
[8089, 11228173.0372 Msun, 134921.924802 Msun, 11093251.1124 Msun, 0]
[8090, 13623353.6803 Msun, 8909.13329316 Msun, 13614444.547 Msun, 0]
[8091, 11100239.4887 Msun, 6988.37638593 Msun, 11093251.1124 Msun, 0]
[8092, 13283137.0318 Msun, 4851.60943724 Msun, 13278285.4224 Msun, 0]
[8093, 12477710.071 Msun, 39822.4602191 Msun, 12437887.6108 Msun, 0]
[8094, 10617682.1315 Msun, 28669.7060924 Msun, 10589012.4254 Msun, 0]
[8095, 12714086.4455 Msun, 108119.272402 Msun, 12605967.1731 Msun, 0]
[8096, 28862634.1296 Msun, 7516529.71643 Msun, 21346104.4132 Msun, 0]
[8097, 80193829.1855 Msun, 5480763.15504 Msun, 74713066.0304 Msun, 170546277123319189968533581788912549888L]
