halo, total_mass, baryon_mass, particle_mass, star_mass 
[59, 1.78615573934e+12 Msun, 2.69498537114e+11 Msun, 1.51665720222e+12 Msun, 0]
[60, 1.62175210452e+12 Msun, 2.77896063329e+11 Msun, 1.34385604119e+12 Msun, 0]
[61, 1.31173080267e+12 Msun, 1.60640996903e+11 Msun, 1.15108980577e+12 Msun, 0]
[62, 1.33426854851e+12 Msun, 2.02455366277e+11 Msun, 1.13181318223e+12 Msun, 0]
[63, 1.41937970292e+12 Msun, 1.94625657182e+11 Msun, 1.22475404573e+12 Msun, 0]
[64, 2.0149183939e+12 Msun, 3.08937210469e+11 Msun, 1.70598118343e+12 Msun, 0]
[65, 1.33441425007e+12 Msun, 1.867666985e+11 Msun, 1.14764755157e+12 Msun, 0]
[66, 2.9695171022e+12 Msun, 4.55294631696e+11 Msun, 2.5142224705e+12 Msun, 0]
[67, 1.11891164583e+12 Msun, 1.45442156976e+11 Msun, 9.73469488853e+11 Msun, 0]
[68, 1.75141097052e+12 Msun, 2.31827898294e+11 Msun, 1.51958307223e+12 Msun, 0]
[69, 9.65952327466e+11 Msun, 1.65283999647e+11 Msun, 8.00668327819e+11 Msun, 0]
[70, 1.35543509067e+12 Msun, 2.49783040392e+11 Msun, 1.10565205028e+12 Msun, 0]
[71, 2.2269967845e+12 Msun, 3.4477218583e+11 Msun, 1.88222459867e+12 Msun, 0]
[72, 1.68856954777e+12 Msun, 2.66230110737e+11 Msun, 1.42233943704e+12 Msun, 0]
[73, 9.78558647975e+11 Msun, 1.49663835685e+11 Msun, 8.2889481229e+11 Msun, 0]
[74, 1.35638136235e+12 Msun, 2.15618319191e+11 Msun, 1.14076304316e+12 Msun, 0]
[75, 1.23497213949e+12 Msun, 1.65807983772e+11 Msun, 1.06916415572e+12 Msun, 0]
[76, 1.22831451954e+12 Msun, 1.92884455016e+11 Msun, 1.03543006452e+12 Msun, 0]
[77, 9.70578918359e+11 Msun, 1.21030580846e+11 Msun, 8.49548337513e+11 Msun, 0]
[78, 1.31828186037e+12 Msun, 1.86468678136e+11 Msun, 1.13181318223e+12 Msun, 0]
[79, 1.1165196477e+12 Msun, 1.46492413055e+11 Msun, 9.70027234649e+11 Msun, 0]
[80, 1.47985171319e+12 Msun, 2.53032314928e+11 Msun, 1.22681939826e+12 Msun, 0]
[81, 1.36447580912e+12 Msun, 2.10632199987e+11 Msun, 1.15384360913e+12 Msun, 0]
[82, 8.2951100421e+12 Msun, 1.27979597462e+12 Msun, 7.01531406747e+12 Msun, 0]
[83, 1.13742325547e+12 Msun, 1.51561651487e+11 Msun, 9.85861603986e+11 Msun, 0]
[84, 8.61598468893e+11 Msun, 1.02237191521e+11 Msun, 7.59361277372e+11 Msun, 0]
[85, 1.25480751547e+12 Msun, 1.66366736213e+11 Msun, 1.08844077926e+12 Msun, 0]
[86, 1.1406642952e+12 Msun, 1.69948609706e+11 Msun, 9.70715685489e+11 Msun, 0]
[87, 1.86134621194e+12 Msun, 3.06135762636e+11 Msun, 1.55521044931e+12 Msun, 0]
[88, 1.07808320227e+12 Msun, 1.25267238644e+11 Msun, 9.52815963629e+11 Msun, 0]
[89, 5.48919429555e+12 Msun, 8.87588875824e+11 Msun, 4.60160541972e+12 Msun, 0]
[90, 1.02782835486e+12 Msun, 1.3559606522e+11 Msun, 8.92232289641e+11 Msun, 0]
[91, 1.21221330697e+12 Msun, 1.25837880233e+11 Msun, 1.08637542674e+12 Msun, 0]
[92, 8.24290731687e+11 Msun, 79386921970.6 Msun, 7.44903809716e+11 Msun, 0]
[93, 8.23528263241e+11 Msun, 95147273703.3 Msun, 7.28380989537e+11 Msun, 0]
[94, 1.75097271634e+12 Msun, 2.19858046458e+11 Msun, 1.53111466988e+12 Msun, 0]
[95, 1.21283111534e+12 Msun, 1.80843305017e+11 Msun, 1.03198781032e+12 Msun, 0]
[96, 8.66244824936e+11 Msun, 1.09637350927e+11 Msun, 7.56607474009e+11 Msun, 0]
[97, 6.3688264151e+11 Msun, 73041402917.7 Msun, 5.63841238593e+11 Msun, 0]
[98, 8.84024244633e+11 Msun, 1.53577902573e+11 Msun, 7.3044634206e+11 Msun, 0]
[99, 1.10008792634e+12 Msun, 1.25241535805e+11 Msun, 9.74846390534e+11 Msun, 0]
[100, 8.93436572326e+11 Msun, 1.27190786546e+11 Msun, 7.6624578578e+11 Msun, 0]
[101, 1.27417061139e+12 Msun, 1.99498848943e+11 Msun, 1.07467176245e+12 Msun, 0]
[102, 1.01899937001e+12 Msun, 1.42601449702e+11 Msun, 8.76397920304e+11 Msun, 0]
[103, 1.89726461256e+12 Msun, 2.88354997671e+11 Msun, 1.60890961489e+12 Msun, 0]
