halo, total_mass, baryon_mass, particle_mass, star_mass 
-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-
[961, 1968481768.84 Msun, 45355991.3841 Msun, 1923125777.45 Msun, 0]
[962, 33933647573.2 Msun, 23455985990.9 Msun, 10477661582.2 Msun, 0]
[963, 2659375000.25 Msun, 170445375.641 Msun, 2488929624.61 Msun, 0]
[964, 6683432745.33 Msun, 197944103.742 Msun, 6485488641.59 Msun, 0]
[965, 1996625734.09 Msun, 99610822.6518 Msun, 1897014911.44 Msun, 32257459]
[966, 3425336772.94 Msun, 437237922.41 Msun, 2988098850.53 Msun, 0]
[967, 2290611213.15 Msun, 65014863.8625 Msun, 2225596349.29 Msun, 0]
[968, 10995672517.6 Msun, 2456825370.49 Msun, 8538847147.13 Msun, 0]
[969, 1959138342.22 Msun, 103434826.133 Msun, 1855703516.09 Msun, 20973894]
[970, 9259980706.62 Msun, 1348005084.85 Msun, 7911975621.78 Msun, 0]
[971, 5678615935.26 Msun, 382734703.604 Msun, 5295881231.66 Msun, 106814783]
[972, 4977106452.74 Msun, 469909615.685 Msun, 4507196837.05 Msun, 2865114]
[973, 2348762054.79 Msun, 223729805.463 Msun, 2125032249.32 Msun, 484349]
[974, 1879528455.24 Msun, 25255445.8021 Msun, 1854273009.44 Msun, 818361]
[975, 61085874544.5 Msun, 7645038728.82 Msun, 53440835815.7 Msun, 2861763683]
[976, 16851064432.3 Msun, 7058642929.67 Msun, 9792421502.59 Msun, 0]
[977, 5843397087.11 Msun, 3900533966.15 Msun, 1942863120.96 Msun, 0]
[978, 7904770204.82 Msun, 1075986742.43 Msun, 6828783462.39 Msun, 0]
[979, 32747362507.0 Msun, 2345132016.08 Msun, 30402230490.9 Msun, 242724401]
[980, 3786157843.67 Msun, 265095032.004 Msun, 3521062811.67 Msun, 2754790]
[981, 59143295452.6 Msun, 2803517334.64 Msun, 56339778118.0 Msun, 409035850]
[982, 3272189558.65 Msun, 140024970.057 Msun, 3132164588.59 Msun, 0]
[983, 1627395900.05 Msun, 25128475.9945 Msun, 1602267424.06 Msun, 0]
[984, 2084116633.33 Msun, 46784175.9384 Msun, 2037332457.39 Msun, 0]
[985, 12227264333.6 Msun, 4290996596.77 Msun, 7936267736.86 Msun, 0]
[986, 8108567038.08 Msun, 1706751237.33 Msun, 6401815800.75 Msun, 0]
[987, 4488069507.65 Msun, 879701052.666 Msun, 3608368454.98 Msun, 6387568]
[988, 2521096007.62 Msun, 528130399.304 Msun, 1992965608.32 Msun, 0]
