halo, total_mass, baryon_mass, particle_mass, star_mass 
-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-
[0, 3.33654014062e+13 Msun, 4.94971598196e+12 Msun, 2.84156854243e+13 Msun, 0]
[1, 2.88710312818e+13 Msun, 4.64265870817e+12 Msun, 2.42283725736e+13 Msun, 0]
[2, 2.14581753056e+13 Msun, 3.26063879806e+12 Msun, 1.81975365075e+13 Msun, 0]
[3, 3.35328701287e+13 Msun, 4.9216385762e+12 Msun, 2.86112315525e+13 Msun, 0]
[4, 1.36827280378e+13 Msun, 2.0576589334e+12 Msun, 1.16250691044e+13 Msun, 0]
[5, 1.19403025236e+13 Msun, 1.63785456923e+12 Msun, 1.03024479544e+13 Msun, 0]
[6, 9.22668524221e+12 Msun, 1.29912083036e+12 Msun, 7.92756441185e+12 Msun, 0]
[7, 9.00242564387e+12 Msun, 1.27248028734e+12 Msun, 7.72994535652e+12 Msun, 0]
[8, 8.05719814473e+12 Msun, 8.74505556812e+11 Msun, 7.18269258792e+12 Msun, 0]
[9, 7.34046341509e+12 Msun, 1.06018511479e+12 Msun, 6.2802783003e+12 Msun, 0]
[10, 6.09147366683e+12 Msun, 8.64242360666e+11 Msun, 5.22723130617e+12 Msun, 0]
[11, 1.01582857103e+13 Msun, 1.3359077437e+12 Msun, 8.82237796658e+12 Msun, 0]
[12, 7.89139032917e+12 Msun, 1.14677634642e+12 Msun, 6.74461398275e+12 Msun, 0]
[13, 5.33305171042e+12 Msun, 6.89694885904e+11 Msun, 4.64335682451e+12 Msun, 0]
[14, 1.03294582088e+13 Msun, 1.3716490015e+12 Msun, 8.95780920729e+12 Msun, 0]
[15, 6.25032839441e+12 Msun, 9.27051463449e+11 Msun, 5.32327693096e+12 Msun, 0]
[16, 1.21875031243e+13 Msun, 1.6701617216e+12 Msun, 1.05173414027e+13 Msun, 0]
[17, 4.6112196457e+12 Msun, 6.85095616397e+11 Msun, 3.9261240293e+12 Msun, 0]
[18, 3.90402623359e+12 Msun, 4.90606187002e+11 Msun, 3.41342004659e+12 Msun, 0]
[19, 4.53730724391e+12 Msun, 6.44350049069e+11 Msun, 3.89295719484e+12 Msun, 0]
[20, 5.09807949844e+12 Msun, 6.79980757969e+11 Msun, 4.41809874047e+12 Msun, 0]
[21, 5.4779513784e+12 Msun, 7.18510633273e+11 Msun, 4.75944074513e+12 Msun, 0]
[22, 3.54851030071e+12 Msun, 4.96470554597e+11 Msun, 3.05203974611e+12 Msun, 0]
