halo, total_mass, baryon_mass, particle_mass, star_mass 
-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-
[741, 6121400278.77 Msun, 483721856.074 Msun, 5637678422.7 Msun, 99750253]
[742, 5836788882.08 Msun, 398474590.892 Msun, 5438314291.19 Msun, 300867168]
[743, 7162357741.67 Msun, 559723113.938 Msun, 6602634627.73 Msun, 408874]
[744, 10496905783.1 Msun, 952297593.462 Msun, 9544608189.69 Msun, 0]
[745, 13298058006.2 Msun, 942818362.284 Msun, 12355239643.9 Msun, 0]
[746, 5751992962.76 Msun, 467813379.209 Msun, 5284179583.55 Msun, 84485497]
[747, 8750858461.33 Msun, 1348005084.85 Msun, 7402853376.48 Msun, 0]
[748, 4238685568.82 Msun, 248872059.187 Msun, 3989813509.63 Msun, 508385]
[749, 8862108280.14 Msun, 650192515.181 Msun, 8211915764.96 Msun, 0]
[750, 4908897820.14 Msun, 424243341.92 Msun, 4484654478.22 Msun, 331712591]
[751, 6954233366.24 Msun, 381697978.934 Msun, 6572535387.31 Msun, 0]
[752, 9921691072.65 Msun, 5928168570.06 Msun, 3993522502.6 Msun, 0]
[753, 27984425231.5 Msun, 17775326477.1 Msun, 10209098754.4 Msun, 0]
[754, 24112011699.4 Msun, 3276968243.6 Msun, 20835043455.8 Msun, 0]
[755, 5490580269.97 Msun, 401732300.413 Msun, 5088847969.56 Msun, 234134573]
[756, 16026180478.5 Msun, 1270744908.1 Msun, 14755435570.4 Msun, 0]
[757, 23826647449.2 Msun, 3900533966.15 Msun, 19926113483.1 Msun, 0]
[758, 8177698458.93 Msun, 1667411616.53 Msun, 6510286842.4 Msun, 0]
[759, 4669730507.81 Msun, 92016376.5035 Msun, 4577714131.31 Msun, 0]
[760, 6400764069.78 Msun, 959739834.522 Msun, 5441024235.25 Msun, 152764660]
[761, 6610240007.99 Msun, 350971688.119 Msun, 6259268319.87 Msun, 0]
[762, 4647580671.88 Msun, 276898570.477 Msun, 4370682101.4 Msun, 187713492]
[763, 5380061526.67 Msun, 429483622.375 Msun, 4950577904.3 Msun, 69380541]
[764, 4161937909.1 Msun, 91659070.6531 Msun, 4070278838.45 Msun, 0]
[765, 20744521417.8 Msun, 2910228955.79 Msun, 17834292462.0 Msun, 0]
[766, 5100255336.72 Msun, 324092898.706 Msun, 4776162438.01 Msun, 150706469]
[767, 5266154073.16 Msun, 346576101.181 Msun, 4919577971.98 Msun, 30283507]
[768, 7344387072.91 Msun, 553391345.098 Msun, 6790995727.81 Msun, 0]
[769, 11562169018.1 Msun, 803179945.41 Msun, 10758989072.7 Msun, 49708580]
[770, 17970019983.3 Msun, 7058642929.67 Msun, 10911377053.6 Msun, 0]
[771, 8574021835.99 Msun, 2289786620.06 Msun, 6284235215.93 Msun, 0]
[772, 5009422203.84 Msun, 324279023.295 Msun, 4685143180.54 Msun, 34215058]
[773, 27056283196.0 Msun, 7058642929.67 Msun, 19997640266.4 Msun, 0]
[774, 4336673061.73 Msun, 238166394.405 Msun, 4098506667.33 Msun, 166894093]
[775, 8219600276.33 Msun, 1224820694.2 Msun, 6994779582.13 Msun, 0]
[776, 12165570300.0 Msun, 809849974.608 Msun, 11355720325.4 Msun, 0]
[777, 15108837748.9 Msun, 5197654794.84 Msun, 9911182954.11 Msun, 0]
[778, 8791447229.97 Msun, 398449994.266 Msun, 8392997235.7 Msun, 71474]
[779, 3862731168.14 Msun, 359577328.406 Msun, 3503153839.74 Msun, 99557892]
[780, 1.16826694884e+11 Msun, 5426029506.0 Msun, 1.11400665378e+11 Msun, 8404230207]
[781, 23129544814.9 Msun, 17775326477.1 Msun, 5354218337.77 Msun, 0]
[782, 20621552627.7 Msun, 17775326477.1 Msun, 2846226150.63 Msun, 0]
[783, 53482711307.1 Msun, 17775326477.1 Msun, 35707384830.0 Msun, 0]
[784, 28904360162.2 Msun, 4898689602.29 Msun, 24005670559.9 Msun, 0]
[785, 35181506916.7 Msun, 9887848171.67 Msun, 25293658745.1 Msun, 0]
[786, 6715242891.0 Msun, 144225760.891 Msun, 6571017130.11 Msun, 0]
[787, 48054792414.2 Msun, 3193768411.3 Msun, 44861024002.9 Msun, 1693248553]
[788, 3659406889.13 Msun, 10191378.7896 Msun, 3649215510.34 Msun, 0]
[789, 3254283727.32 Msun, 90701102.1068 Msun, 3163582625.21 Msun, 209415]
[790, 5611951782.11 Msun, 345305048.318 Msun, 5266646733.79 Msun, 8753322]
[791, 8433400058.94 Msun, 721834386.605 Msun, 7711565672.34 Msun, 0]
[792, 7728890202.34 Msun, 590213577.397 Msun, 7138676624.95 Msun, 0]
[793, 10869100374.3 Msun, 2056629542.03 Msun, 8812470832.31 Msun, 0]
[794, 10540407508.2 Msun, 1149818075.93 Msun, 9390589432.25 Msun, 0]
[795, 16018267633.2 Msun, 880450864.054 Msun, 15137816769.2 Msun, 1356080411]
[796, 19260565114.5 Msun, 1349853707.16 Msun, 17910711407.4 Msun, 0]
[797, 3498373981.39 Msun, 287158192.479 Msun, 3211215788.91 Msun, 117006789]
[798, 6054307620.51 Msun, 116235044.518 Msun, 5938072575.99 Msun, 0]
[799, 10792478693.0 Msun, 410636009.159 Msun, 10381842683.9 Msun, 0]
[800, 2937703540.96 Msun, 292056035.012 Msun, 2645647505.94 Msun, 0]
[801, 3779593328.13 Msun, 343279902.928 Msun, 3436313425.2 Msun, 351887064]
[802, 17217035669.2 Msun, 1664353178.87 Msun, 15552682490.3 Msun, 167169045]
[803, 9543786564.34 Msun, 1398546079.57 Msun, 8145240484.77 Msun, 13454862]
[804, 5151111211.04 Msun, 868782451.335 Msun, 4282328759.7 Msun, 0]
