halo, total_mass, baryon_mass, particle_mass, star_mass 
-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-.-
[807, 4781265884.72 Msun, 427727582.296 Msun, 4353538302.42 Msun, 94826200]
[808, 3508882261.44 Msun, 103937463.891 Msun, 3404944797.55 Msun, 0]
[809, 9035230823.48 Msun, 1091034410.17 Msun, 7944196413.31 Msun, 0]
[810, 8962814962.11 Msun, 1434444425.07 Msun, 7528370537.04 Msun, 14178201]
[811, 4442914069.57 Msun, 311600814.643 Msun, 4131313254.93 Msun, 64745266]
[812, 4870202790.72 Msun, 293993500.508 Msun, 4576209290.21 Msun, 1362970]
[813, 11231994138.7 Msun, 673190144.323 Msun, 10558803994.4 Msun, 0]
[814, 4066424123.48 Msun, 931054325.262 Msun, 3135369798.22 Msun, 0]
[815, 2281350265.39 Msun, 28931372.3595 Msun, 2252418893.03 Msun, 0]
[816, 3229251507.37 Msun, 297677158.6 Msun, 2931574348.77 Msun, 4374450]
[817, 2957568961.08 Msun, 43118909.3028 Msun, 2914450051.78 Msun, 71022]
[818, 2916774449.36 Msun, 237559693.094 Msun, 2679214756.27 Msun, 269569949]
[819, 4205643123.45 Msun, 370694149.872 Msun, 3834948973.58 Msun, 0]
[820, 15871262569.2 Msun, 1249771022.25 Msun, 14621491546.9 Msun, 0]
[821, 10224038703.2 Msun, 493022269.276 Msun, 9731016433.9 Msun, 0]
[822, 5547278483.66 Msun, 84251713.7496 Msun, 5463026769.91 Msun, 0]
[823, 6308165856.03 Msun, 380889775.63 Msun, 5927276080.4 Msun, 0]
[824, 4918617977.96 Msun, 285571806.742 Msun, 4633046171.22 Msun, 0]
[825, 2975569346.88 Msun, 297002565.619 Msun, 2678566781.26 Msun, 103939197]
[826, 10308928334.0 Msun, 1021243000.4 Msun, 9287685333.63 Msun, 0]
[827, 26533134895.9 Msun, 1016587040.51 Msun, 25516547855.4 Msun, 1585597918]
[828, 3342878718.43 Msun, 120124784.01 Msun, 3222753934.42 Msun, 0]
[829, 23615973414.7 Msun, 1330375963.63 Msun, 22285597451.0 Msun, 406833573]
[830, 9842296793.57 Msun, 6465524101.7 Msun, 3376772691.86 Msun, 0]
[831, 31124586253.9 Msun, 2503657192.47 Msun, 28620929061.4 Msun, 246218605]
[832, 25423472453.8 Msun, 4163823069.8 Msun, 21259649384.0 Msun, 0]
[833, 3012647165.2 Msun, 252118198.336 Msun, 2760528966.86 Msun, 0]
[834, 2935216885.4 Msun, 249010617.879 Msun, 2686206267.52 Msun, 1084067]
[835, 2524599879.91 Msun, 41405893.5825 Msun, 2483193986.32 Msun, 0]
[836, 2688326596.82 Msun, 141001406.981 Msun, 2547325189.84 Msun, 111027699]
[837, 2633158427.07 Msun, 238288502.385 Msun, 2394869924.68 Msun, 195251254]
[838, 2740883979.38 Msun, 91140852.0334 Msun, 2649743127.35 Msun, 74441008]
[839, 3249345840.51 Msun, 240542285.154 Msun, 3008803555.36 Msun, 87507385]
[840, 2920278506.25 Msun, 118250509.451 Msun, 2802027996.8 Msun, 0]
[841, 11690745846.5 Msun, 3136884822.68 Msun, 8553861023.81 Msun, 0]
[842, 30648935958.2 Msun, 1834776173.71 Msun, 28814159784.5 Msun, 0]
[843, 6213955126.2 Msun, 2056629542.03 Msun, 4157325584.17 Msun, 0]
[844, 6421899079.81 Msun, 1726098277.96 Msun, 4695800801.85 Msun, 0]
[845, 14315933016.5 Msun, 722638979.498 Msun, 13593294037.0 Msun, 0]
[846, 3332446249.95 Msun, 82869771.7884 Msun, 3249576478.16 Msun, 0]
[847, 6682622178.08 Msun, 3993957385.0 Msun, 2688664793.07 Msun, 0]
[848, 2216668596.74 Msun, 35776487.0118 Msun, 2180892109.73 Msun, 0]
[849, 6079925047.07 Msun, 250553965.673 Msun, 5829371081.39 Msun, 40930876]
[850, 5128247912.16 Msun, 269318809.707 Msun, 4858929102.45 Msun, 0]
[851, 3005248597.66 Msun, 249900827.013 Msun, 2755347770.64 Msun, 39016669]
[852, 15785045062.5 Msun, 2300390762.48 Msun, 13484654300.1 Msun, 0]
[853, 11849502096.3 Msun, 3420475552.82 Msun, 8429026543.52 Msun, 0]
[854, 2264262898.8 Msun, 135390262.194 Msun, 2128872636.61 Msun, 209625326]
[855, 3614622544.96 Msun, 127573010.679 Msun, 3487049534.28 Msun, 658869030]
[856, 7039043740.72 Msun, 691379113.185 Msun, 6347664627.54 Msun, 0]
[857, 15873801377.5 Msun, 1316582718.42 Msun, 14557218659.1 Msun, 0]
